age,gender,weight_kg,height_cm,bmi,activity_level,goal,goal_encoded,health_condition,condition_encoded,region,region_encoded,protein_pct,carbs_pct,fat_pct,diet_category
56,0,67.0,151.9,29.0,1.375,loss,-1,diabetes,1,south_india,1,43,16,41,weight_loss
69,1,50.0,163.8,18.63,1.55,loss,-1,thyroid,3,east_india,3,36,30,34,medical_diet
46,1,73.7,164.6,27.21,1.375,loss,-1,hypertension,2,north_india,0,36,34,30,weight_loss
32,1,74.6,174.6,24.47,1.55,maintain,0,none,0,west_india,2,28,42,30,maintenance
60,0,49.9,156.8,20.29,1.2,gain,1,hypertension,2,north_india,0,40,56,4,muscle_gain
25,1,53.3,167.9,18.9,1.2,maintain,0,diabetes,1,west_india,2,42,23,35,medical_diet
38,1,50.4,164.2,18.71,1.375,loss,-1,none,0,north_india,0,36,30,34,maintenance
56,1,49.7,158.6,19.77,1.725,maintain,0,diabetes,1,north_india,0,40,23,37,medical_diet
36,0,49.3,151.1,21.59,1.55,loss,-1,hypertension,2,west_india,2,34,37,29,medical_diet
40,0,58.5,151.3,25.57,1.375,maintain,0,none,0,south_india,1,31,38,31,maintenance
28,1,59.5,163.1,22.36,1.375,gain,1,hypertension,2,south_india,1,38,55,7,muscle_gain
28,1,70.2,173.0,23.46,1.2,loss,-1,none,0,north_india,0,34,31,35,maintenance
41,1,66.5,167.5,23.7,1.55,loss,-1,none,0,south_india,1,34,28,38,maintenance
53,0,64.3,158.6,25.57,1.375,loss,-1,none,0,north_india,0,37,30,33,weight_loss
57,0,68.1,160.4,26.48,1.55,loss,-1,diabetes,1,south_india,1,45,14,41,weight_loss
41,0,42.0,158.6,16.69,1.55,maintain,0,none,0,south_india,1,32,38,30,muscle_gain
20,1,62.2,165.6,22.69,1.2,loss,-1,none,0,east_india,3,34,28,38,maintenance
39,0,73.6,158.9,29.16,1.55,loss,-1,none,0,south_india,1,37,32,31,weight_loss
19,1,48.7,164.5,18.0,1.375,maintain,0,hypertension,2,north_india,0,28,43,29,muscle_gain
41,1,73.6,172.7,24.67,1.2,gain,1,none,0,east_india,3,41,50,9,muscle_gain
61,0,61.9,164.0,23.03,1.55,loss,-1,diabetes,1,north_india,0,43,17,40,medical_diet
47,1,55.9,162.7,21.12,1.375,loss,-1,diabetes,1,south_india,1,44,17,39,medical_diet
55,0,68.9,149.8,30.7,1.55,loss,-1,none,0,north_india,0,37,28,35,weight_loss
19,1,54.4,154.0,22.95,1.2,loss,-1,diabetes,1,west_india,2,45,16,39,medical_diet
38,1,85.1,166.9,30.53,1.375,loss,-1,none,0,north_india,0,35,29,36,weight_loss
50,0,69.4,169.3,24.2,1.9,gain,1,diabetes,1,south_india,1,49,36,15,muscle_gain
29,1,75.0,169.5,26.11,1.55,loss,-1,thyroid,3,west_india,2,36,30,34,weight_loss
39,1,62.0,168.9,21.73,1.55,loss,-1,none,0,east_india,3,37,28,35,maintenance
61,1,50.0,156.8,20.34,1.375,loss,-1,hypertension,2,north_india,0,33,33,34,medical_diet
42,1,60.2,155.3,24.97,1.2,gain,1,hypertension,2,north_india,0,38,54,8,muscle_gain
66,1,75.2,170.1,26.0,1.725,loss,-1,none,0,north_india,0,35,31,34,weight_loss
44,1,76.1,168.9,26.67,1.2,maintain,0,diabetes,1,east_india,3,38,26,36,medical_diet
59,1,69.5,165.0,25.54,1.9,maintain,0,diabetes,1,east_india,3,41,26,33,medical_diet
45,1,40.4,156.4,16.5,1.2,gain,1,none,0,north_india,0,39,51,10,muscle_gain
33,0,47.4,157.1,19.22,1.2,loss,-1,none,0,south_india,1,37,32,31,maintenance
32,0,68.8,158.6,27.35,1.375,loss,-1,none,0,south_india,1,33,29,38,weight_loss
64,1,46.4,169.9,16.08,1.375,maintain,0,diabetes,1,south_india,1,39,25,36,muscle_gain
68,1,65.6,162.1,24.97,1.55,maintain,0,none,0,south_india,1,32,41,27,maintenance
61,0,60.5,161.9,23.1,1.9,maintain,0,none,0,south_india,1,29,39,32,maintenance
69,1,68.6,158.4,27.34,1.375,maintain,0,hypertension,2,north_india,0,28,44,28,medical_diet
20,0,68.6,163.6,25.63,1.2,maintain,0,none,0,north_india,0,29,38,33,maintenance
54,0,51.0,159.0,20.19,1.55,gain,1,none,0,west_india,2,41,50,9,muscle_gain
68,0,47.2,155.7,19.47,1.55,gain,1,none,0,west_india,2,40,50,10,muscle_gain
24,1,59.6,165.9,21.66,1.375,loss,-1,none,0,west_india,2,37,30,33,maintenance
38,1,78.2,171.2,26.67,1.2,loss,-1,diabetes,1,south_india,1,47,17,36,weight_loss
26,1,38.0,165.7,13.86,1.375,maintain,0,none,0,east_india,3,31,41,28,muscle_gain
56,0,55.7,153.8,23.54,1.55,loss,-1,none,0,north_india,0,34,31,35,maintenance
35,0,39.6,150.2,17.56,1.375,loss,-1,none,0,north_india,0,37,31,32,muscle_gain
21,0,63.5,161.2,24.43,1.55,loss,-1,none,0,north_india,0,35,29,36,maintenance
42,1,67.6,163.5,25.3,1.2,gain,1,none,0,north_india,0,38,52,10,muscle_gain
31,0,38.0,149.2,17.08,1.55,loss,-1,none,0,west_india,2,37,30,33,muscle_gain
67,0,47.9,150.6,21.11,1.2,gain,1,diabetes,1,south_india,1,51,33,16,muscle_gain
26,1,76.7,174.9,25.09,1.375,loss,-1,none,0,south_india,1,36,30,34,weight_loss
43,0,50.0,149.0,22.54,1.375,maintain,0,none,0,south_india,1,30,39,31,maintenance
19,0,43.9,145.4,20.77,1.55,loss,-1,hypertension,2,west_india,2,36,36,28,medical_diet
37,1,56.4,171.0,19.27,1.2,loss,-1,none,0,south_india,1,34,28,38,maintenance
45,1,57.5,170.4,19.83,1.725,gain,1,none,0,south_india,1,42,49,9,muscle_gain
64,0,38.0,149.4,17.03,1.55,gain,1,diabetes,1,west_india,2,52,33,15,muscle_gain
24,1,74.2,167.5,26.43,1.2,loss,-1,none,0,south_india,1,37,32,31,weight_loss
61,0,67.3,168.7,23.65,1.55,maintain,0,none,0,south_india,1,29,38,33,maintenance
25,1,65.3,165.9,23.72,1.55,maintain,0,diabetes,1,north_india,0,39,23,38,medical_diet
64,0,38.6,159.1,15.25,1.55,loss,-1,none,0,north_india,0,37,29,34,muscle_gain
52,1,61.0,161.4,23.42,1.725,loss,-1,none,0,south_india,1,37,28,35,maintenance
31,0,77.6,170.0,26.85,1.55,maintain,0,none,0,north_india,0,31,39,30,maintenance
34,1,38.0,160.1,14.83,1.375,loss,-1,none,0,north_india,0,33,31,36,muscle_gain
53,1,75.9,182.3,22.83,1.55,loss,-1,pcos,4,north_india,0,44,14,42,medical_diet
67,1,52.9,171.7,17.93,1.55,gain,1,none,0,east_india,3,41,51,8,muscle_gain
57,1,65.1,170.1,22.49,1.375,loss,-1,none,0,north_india,0,37,32,31,maintenance
21,1,49.8,160.6,19.3,1.375,loss,-1,none,0,south_india,1,37,30,33,maintenance
19,1,76.9,172.4,25.9,1.725,gain,1,diabetes,1,south_india,1,52,36,12,muscle_gain
