name,calories,protein,carbs,fat,fiber,sugar,category,diet_type,region,meal_type,health_tags,glycemic_index
"pillsbury golden layer buttermilk biscuits, artificial flavor, refrigerated dough",307.0,5.88,41.18,13.24,1.2,5.88,dairy,veg,global,"[""beverage""]",[],medium
"pillsbury, cinnamon rolls with icing, refrigerated dough",330.0,4.34,53.42,11.27,1.4,21.34,spice,vegan,global,"[""lunch"", ""dinner""]",[],high
"kraft foods, shake n bake original recipe, coating for pork, dry",377.0,6.1,79.8,3.7,0.0,0.0,grain,non-veg,global,"[""beverage""]","[""low-fat"", ""diabetes-friendly""]",high
"george weston bakeries, thomas english muffins",232.0,8.0,46.0,1.8,0.0,0.0,grain,vegan,global,"[""breakfast""]","[""low-fat"", ""heart-healthy"", ""diabetes-friendly""]",high
"waffles, buttermilk, frozen, ready-to-heat",273.0,6.58,41.05,9.22,2.2,4.3,grain,veg,global,"[""beverage""]","[""diabetes-friendly""]",medium
"waffle, buttermilk, frozen, ready-to-heat, toasted",309.0,7.42,48.39,9.49,2.6,4.41,grain,veg,global,"[""beverage""]","[""diabetes-friendly""]",high
"waffle, buttermilk, frozen, ready-to-heat, microwaved",289.0,6.92,44.16,9.4,2.4,4.5,grain,veg,global,"[""beverage""]","[""diabetes-friendly""]",medium
"waffle, plain, frozen, ready-to-heat, microwave",298.0,6.71,45.41,9.91,2.4,5.04,grain,vegan,global,"[""breakfast""]",[],medium
"pie crust, cookie-type, graham cracker, ready crust",501.0,5.1,64.3,24.83,1.9,18.13,grain,non-veg,global,"[""snack""]",[],high
"pie crust, cookie-type, chocolate, ready crust",484.0,6.08,64.48,22.42,2.7,26.31,snack,vegan,global,"[""snack""]",[],high
"pie, dutch apple, commercially prepared",290.0,2.17,44.54,11.5,1.6,22.02,fruit,vegan,global,"[""lunch"", ""dinner""]",[],medium
"pie crust, deep dish, frozen, unbaked, made with enriched flour",468.0,5.52,46.79,28.74,1.4,0.0,grain,vegan,global,"[""lunch"", ""dinner""]","[""diabetes-friendly""]",high
"waffles, chocolate chip, frozen, ready-to-heat",297.0,5.8,45.68,10.1,1.5,13.1,grain,vegan,global,"[""breakfast"", ""snack""]",[],medium
"tostada shells, corn",474.0,6.15,64.43,23.38,5.8,0.0,grain,vegan,global,"[""lunch"", ""dinner""]","[""high-fiber"", ""diabetes-friendly""]",high
"bread, salvadoran sweet cheese (quesadilla salvadorena)",374.0,7.12,47.84,17.12,0.7,24.9,grain,veg,global,"[""breakfast""]",[],high
"bread, pound cake type, pan de torta salvadoran",390.0,7.06,51.29,17.45,1.7,18.1,grain,vegan,global,"[""breakfast"", ""snack""]",[],high
"pastry, pastelitos de guava (guava pastries)",379.0,5.48,47.76,18.5,2.2,17.0,fruit,vegan,global,"[""lunch"", ""dinner""]",[],high
"crackers, snack, goya crackers",433.0,14.25,64.35,13.35,3.8,2.35,grain,vegan,global,"[""snack""]","[""good-protein"", ""diabetes-friendly""]",high
"crackers, cream, gamesa sabrosas",484.0,7.01,64.55,20.37,2.4,9.37,grain,veg,global,"[""snack""]",[],high
"crackers, cream, la moderna rikis cream crackers",464.0,7.19,64.88,19.5,2.4,10.41,grain,veg,global,"[""snack""]",[],high
"bread, white wheat",238.0,10.66,43.91,2.15,9.2,5.0,grain,vegan,global,"[""breakfast""]","[""good-protein"", ""low-fat"", ""heart-healthy"", ""high-fiber""]",medium
"bagels, wheat",250.0,10.2,48.89,1.53,4.1,6.12,grain,vegan,global,"[""lunch"", ""dinner""]","[""good-protein"", ""low-fat"", ""heart-healthy""]",medium
"cream puff, eclair, custard or cream filled, iced",334.0,4.41,37.43,18.52,0.9,22.05,dairy,veg,global,"[""lunch"", ""dinner""]",[],medium
"tortillas, ready-to-bake or -fry, flour, shelf stable",297.0,8.01,49.27,7.58,2.4,2.66,grain,vegan,global,"[""lunch"", ""dinner""]","[""good-protein"", ""diabetes-friendly""]",high
"snacks, beef jerky, chopped and formed",410.0,33.2,11.0,25.6,1.8,9.0,protein,non-veg,global,"[""lunch"", ""dinner""]","[""high-protein"", ""good-protein""]",low
"snacks, corn-based, extruded, chips, plain",539.0,6.17,57.27,33.36,4.0,0.27,grain,vegan,global,"[""snack""]","[""diabetes-friendly""]",high
"snacks, corn-based, extruded, chips, barbecue-flavor",523.0,7.0,56.2,32.7,5.2,0.0,grain,vegan,global,"[""snack""]","[""high-fiber"", ""diabetes-friendly""]",high
"snacks, corn-based, extruded, cones, plain",510.0,5.8,62.9,26.9,1.1,0.0,grain,vegan,global,"[""lunch"", ""dinner""]","[""diabetes-friendly""]",high
"snacks, fruit leather, pieces",359.0,1.0,82.82,2.68,0.0,57.58,snack,vegan,global,"[""breakfast"", ""snack""]","[""low-fat"", ""heart-healthy""]",high
"snacks, fruit leather, rolls",371.0,0.1,85.8,3.0,0.0,49.16,other,vegan,global,"[""breakfast"", ""snack""]","[""low-fat""]",high
"snacks, granola bars, hard, plain",471.0,10.1,64.4,19.8,5.3,28.57,grain,vegan,global,"[""breakfast"", ""snack""]","[""good-protein"", ""high-fiber""]",high
"snacks, granola bars, hard, almond",495.0,7.7,62.0,25.5,4.8,0.0,grain,vegan,global,"[""breakfast"", ""snack""]","[""diabetes-friendly""]",high
"snacks, granola bars, soft, uncoated, raisin",448.0,7.6,66.4,17.8,4.2,0.0,grain,vegan,global,"[""breakfast"", ""snack""]","[""diabetes-friendly""]",high
"snacks, granola bars, soft, coated, milk chocolate coating, chocolate chip",466.0,5.8,63.8,24.9,3.4,0.0,grain,veg,global,"[""beverage""]","[""diabetes-friendly""]",high
"candies, honey-combed, with peanut butter",473.0,8.72,67.41,20.18,1.9,62.68,vegetable,veg,global,"[""snack""]","[""good-protein""]",high
"snacks, granola bars, soft, coated, milk chocolate coating, peanut butter",508.0,10.2,53.4,31.1,2.8,23.74,grain,veg,global,"[""beverage""]","[""good-protein""]",high
"snacks, granola bars, soft, uncoated, peanut butter and chocolate chip",432.0,9.8,62.2,20.0,4.2,0.0,grain,veg,global,"[""breakfast"", ""snack""]","[""good-protein"", ""diabetes-friendly""]",high
"snacks, popcorn, oil-popped, microwave, regular flavor, no trans fat",583.0,7.29,45.06,43.55,8.1,0.46,grain,vegan,global,"[""snack""]","[""high-fiber"", ""diabetes-friendly""]",medium
"snacks, popcorn, cakes",384.0,9.7,80.1,3.1,2.9,0.72,grain,vegan,global,"[""snack""]","[""good-protein"", ""low-fat"", ""diabetes-friendly""]",high
"snacks, popcorn, caramel-coated, with peanuts",400.0,6.4,80.7,7.8,3.8,45.36,grain,vegan,global,"[""breakfast"", ""snack""]",[],high
"snacks, popcorn, caramel-coated, without peanuts",431.0,3.8,79.1,12.8,5.2,53.19,grain,vegan,global,"[""breakfast"", ""snack""]","[""high-fiber""]",high
"snacks, potato chips, made from dried potatoes, reduced fat",502.0,4.56,64.76,26.14,3.2,0.63,snack,vegan,global,"[""snack""]","[""diabetes-friendly""]",high
"snacks, potato chips, made from dried potatoes, sour-cream and onion-flavor",547.0,6.6,51.3,37.0,1.2,0.0,vegetable,veg,global,"[""snack""]","[""diabetes-friendly""]",high
"snacks, pretzels, hard, plain, salted",384.0,10.04,80.39,2.93,3.4,2.21,grain,vegan,global,"[""snack""]","[""good-protein"", ""low-fat"", ""heart-healthy"", ""diabetes-friendly""]",high
"snacks, pretzels, hard, confectioner's coating, chocolate-flavor",457.0,7.5,70.9,16.7,2.4,38.8,grain,vegan,global,"[""breakfast"", ""snack""]",[],high
"snacks, rice cakes, brown rice, sesame seed",392.0,7.6,81.5,3.8,5.4,0.0,grain,vegan,global,"[""lunch"", ""dinner"", ""snack""]","[""low-fat"", ""high-fiber"", ""diabetes-friendly""]",high
"snacks, tortilla chips, plain, white corn, salted",472.0,7.1,67.78,20.68,5.4,0.78,grain,vegan,global,"[""snack""]","[""high-fiber"", ""diabetes-friendly""]",high
"snacks, tortilla chips, nacho cheese",519.0,7.36,60.81,27.42,5.1,2.59,grain,veg,global,"[""snack""]","[""high-fiber"", ""diabetes-friendly""]",high
"snacks, tortilla chips, ranch-flavor",501.0,7.19,62.74,24.63,4.0,3.03,grain,vegan,global,"[""snack""]","[""diabetes-friendly""]",high
"snacks, trail mix, regular",462.0,13.8,44.9,29.4,0.0,0.0,snack,vegan,global,"[""snack""]","[""good-protein"", ""diabetes-friendly""]",medium
"candies, almond joy candy bar",479.0,4.13,59.51,26.93,5.0,48.34,snack,vegan,global,"[""snack""]",[],high
"candies, twizzlers cherry bites",338.0,2.97,79.38,1.7,0.1,0.0,fruit,vegan,global,"[""lunch"", ""dinner""]","[""low-fat"", ""heart-healthy"", ""diabetes-friendly""]",high
"candies, nestle, bit-o'-honey candy chews",388.0,2.0,80.89,7.5,0.2,48.0,snack,veg,global,"[""snack""]",[],high
"candies, nestle, butterfinger bar",459.0,5.4,72.9,18.9,2.0,45.9,dairy,veg,global,"[""snack""]",[],high
"candies, caramels, chocolate-flavor roll",387.0,1.59,87.73,3.31,0.1,56.32,snack,vegan,global,"[""snack""]","[""low-fat""]",high
"baking chocolate, unsweetened, liquid",472.0,12.1,36.2,47.7,18.1,0.0,snack,vegan,global,"[""snack""]","[""good-protein"", ""high-fiber"", ""diabetes-friendly""]",medium
"baking chocolate, unsweetened, squares",642.0,14.32,28.42,52.31,16.6,0.91,snack,vegan,global,"[""snack""]","[""good-protein"", ""high-fiber"", ""diabetes-friendly""]",low
"candies, confectioner's coating, yogurt",522.0,5.87,63.94,27.0,0.0,62.36,grain,veg,global,"[""breakfast""]",[],high
"candies, confectioner's coating, peanut butter",529.0,18.3,46.88,29.8,5.0,38.3,grain,veg,global,"[""breakfast"", ""snack""]","[""high-protein"", ""good-protein""]",medium
"candies, white chocolate",539.0,5.87,59.24,32.09,0.2,59.0,snack,vegan,global,"[""snack""]",[],high
"ice creams, vanilla, light",180.0,4.78,29.46,4.83,0.3,22.12,dairy,veg,global,"[""lunch"", ""dinner""]","[""weight-loss"", ""low-fat""]",medium
"ice creams, vanilla, rich",249.0,3.5,22.29,16.2,0.0,20.65,dairy,veg,global,"[""lunch"", ""dinner""]",[],medium
"desserts, flan, caramel custard, prepared-from-recipe",145.0,4.53,22.78,4.03,0.0,22.78,dairy,veg,global,"[""lunch"", ""dinner""]","[""weight-loss"", ""low-fat""]",medium
"ice creams, vanilla",207.0,3.5,23.6,11.0,0.7,21.22,dairy,veg,global,"[""lunch"", ""dinner""]",[],medium
"ice creams, vanilla, light, soft-serve",126.0,4.9,21.8,2.6,0.0,18.69,dairy,veg,global,"[""lunch"", ""dinner""]","[""weight-loss"", ""low-fat"", ""heart-healthy""]",medium
"sherbet, orange",144.0,1.1,30.4,2.0,1.3,24.32,fruit,vegan,global,"[""lunch"", ""dinner""]","[""weight-loss"", ""low-fat"", ""heart-healthy""]",medium
"candies, fudge, peanut butter, prepared-from-recipe",387.0,3.78,77.75,6.59,0.7,73.36,vegetable,veg,global,"[""snack""]",[],high
"candies, fudge, vanilla, prepared-from-recipe",383.0,1.05,82.15,5.45,0.0,79.77,snack,vegan,global,"[""lunch"", ""dinner""]",[],high
"candies, fudge, vanilla with nuts",435.0,3.0,74.61,13.69,0.9,71.0,snack,vegan,global,"[""snack""]",[],high
"candies, nestle, goobers chocolate covered peanuts",512.0,9.7,53.0,34.0,9.7,43.0,vegetable,vegan,global,"[""snack""]","[""good-protein"", ""high-fiber""]",medium
"candies, nestle, baby ruth bar",475.0,5.4,64.8,21.6,2.0,54.0,snack,vegan,global,"[""snack""]",[],high
"candies, twizzlers strawberry twists candy",348.0,2.56,79.16,2.32,0.0,39.64,fruit,vegan,global,"[""snack""]","[""low-fat"", ""heart-healthy""]",high
"syrups, table blends, pancake, with butter",291.0,0.0,72.43,0.09,0.0,72.25,grain,veg,global,"[""breakfast"", ""snack""]","[""low-fat"", ""heart-healthy""]",high
"ice creams, chocolate, light",187.0,5.0,25.7,7.19,0.8,24.71,dairy,veg,global,"[""snack""]","[""weight-loss""]",medium
"candies, nestle, chunky bar",519.0,7.5,60.4,27.5,2.5,52.5,snack,vegan,global,"[""snack""]",[],high
"candies, milk chocolate",535.0,7.65,59.4,29.66,3.4,51.5,dairy,veg,global,"[""beverage""]",[],high
"puddings, banana, dry mix, instant, prepared with 2% milk",105.0,2.76,19.74,1.7,0.0,0.0,fruit,veg,global,"[""beverage""]","[""weight-loss"", ""low-fat"", ""heart-healthy"", ""diabetes-friendly""]",low
"puddings, banana, dry mix, regular, prepared with 2% milk",101.0,2.9,18.43,1.73,0.0,0.0,fruit,veg,global,"[""beverage""]","[""weight-loss"", ""low-fat"", ""heart-healthy"", ""diabetes-friendly""]",low
"andrea's, gluten free soft dinner roll",257.0,5.65,40.24,8.2,2.9,2.98,other,vegan,global,"[""lunch"", ""dinner""]","[""diabetes-friendly""]",medium
