name,calories,protein,carbs,fat,fiber,sugar,category,diet_type,region,meal_type,health_tags,glycemic_index
hot tea (garam chai),16.14,0.39,2.58,0.53,0.0,2.58,beverage,vegan,north_india,['beverage'],"[""weight-loss"", ""keto-friendly"", ""diabetes-friendly"", ""low-fat"", ""vegan""]",medium
instant coffee,23.16,0.64,3.65,0.75,0.0,3.62,beverage,vegan,north_india,['beverage'],"[""weight-loss"", ""keto-friendly"", ""diabetes-friendly"", ""low-fat"", ""vegan""]",medium
espreso coffee,51.54,1.75,6.62,2.14,0.0,6.53,beverage,vegan,north_india,['beverage'],"[""weight-loss"", ""keto-friendly"", ""low-fat"", ""vegan""]",medium
iced tea,10.34,0.03,2.7,0.01,0.0,2.7,beverage,vegan,north_india,['beverage'],"[""weight-loss"", ""keto-friendly"", ""diabetes-friendly"", ""low-fat"", ""vegan""]",medium
raw mango drink (aam panna),35.92,0.16,9.05,0.03,0.61,7.49,fruit,vegan,north_india,"['lunch', 'dinner']","[""weight-loss"", ""keto-friendly"", ""low-fat"", ""vegan""]",medium
fruit punch (with fresh juices),36.12,0.14,9.38,0.03,0.06,9.25,fruit,vegan,north_india,"['lunch', 'dinner']","[""weight-loss"", ""keto-friendly"", ""low-fat"", ""vegan""]",medium
fruit punch (with squashes),23.13,0.07,5.99,0.02,0.17,5.88,fruit,vegan,north_india,"['lunch', 'dinner']","[""weight-loss"", ""keto-friendly"", ""low-fat"", ""vegan""]",medium
lemonade,20.8,0.03,5.48,0.01,0.02,5.47,other,vegan,north_india,"['lunch', 'dinner']","[""weight-loss"", ""keto-friendly"", ""low-fat"", ""vegan""]",medium
lem-o-gin,21.52,0.08,5.55,0.03,0.13,5.38,other,vegan,north_india,"['lunch', 'dinner']","[""weight-loss"", ""keto-friendly"", ""low-fat"", ""vegan""]",medium
cumin infused water (jeere/zeere ka pani),9.09,0.17,1.86,0.11,0.46,1.46,beverage,vegan,north_india,['beverage'],"[""weight-loss"", ""keto-friendly"", ""diabetes-friendly"", ""low-fat"", ""vegan""]",medium
coco pine cooler,32.75,0.56,5.72,1.0,0.26,5.52,beverage,vegan,north_india,['beverage'],"[""weight-loss"", ""keto-friendly"", ""low-fat"", ""vegan""]",medium
summer cooler,22.43,0.37,5.43,0.04,0.2,5.21,beverage,vegan,north_india,['beverage'],"[""weight-loss"", ""keto-friendly"", ""low-fat"", ""vegan""]",medium
hot cocoa,90.1,3.36,9.23,4.56,0.0,9.01,other,vegan,north_india,"['lunch', 'dinner']","[""weight-loss"", ""keto-friendly"", ""low-fat"", ""vegan""]",medium
cold coffee with ice cream,67.85,1.57,11.24,2.11,0.01,11.18,beverage,vegan,north_india,['beverage'],"[""weight-loss"", ""low-fat"", ""vegan""]",medium
banana milkshake (kele milkshake),65.31,1.84,9.15,2.37,0.26,7.96,dairy,veg,north_india,"['lunch', 'dinner']","[""weight-loss"", ""keto-friendly"", ""low-fat"", ""veg""]",medium
mango milkshake (aam milkshake),56.9,1.73,7.23,2.35,0.26,7.15,dairy,veg,north_india,"['lunch', 'dinner']","[""weight-loss"", ""keto-friendly"", ""low-fat"", ""veg""]",medium
pineapple milkshake (ananas milkshake),55.72,1.66,7.62,2.23,0.0,7.6,dairy,veg,north_india,"['lunch', 'dinner']","[""weight-loss"", ""keto-friendly"", ""low-fat"", ""veg""]",medium
orange milkshake (narangi milkshake),57.42,1.86,7.11,2.52,0.0,7.08,dairy,veg,north_india,"['lunch', 'dinner']","[""weight-loss"", ""keto-friendly"", ""low-fat"", ""veg""]",medium
egg nog,97.14,4.78,8.15,5.11,0.02,8.06,protein,non-veg,north_india,"['lunch', 'dinner']","[""weight-loss"", ""keto-friendly""]",medium
sweet lassi (meethi lassi),35.66,1.29,6.51,0.68,0.0,6.51,dairy,vegan,north_india,"['lunch', 'dinner']","[""weight-loss"", ""keto-friendly"", ""low-fat"", ""vegan""]",medium
lassi (salted),18.84,1.35,1.86,0.72,0.02,1.84,dairy,vegan,north_india,"['lunch', 'dinner']","[""weight-loss"", ""keto-friendly"", ""diabetes-friendly"", ""low-fat"", ""vegan""]",medium
cheese and chilli sandwich,218.11,6.8,27.4,9.78,2.08,2.38,other,veg,north_india,"['lunch', 'dinner']","[""diabetes-friendly"", ""veg""]",medium
egg sandwich (ande ka sandwich),285.96,8.69,29.16,15.8,1.88,1.86,protein,non-veg,north_india,"['lunch', 'dinner']","[""diabetes-friendly""]",medium
cucumber sandwich (kheere ka sandwich),188.6,4.8,25.77,8.0,2.45,1.64,other,vegan,north_india,"['lunch', 'dinner']","[""diabetes-friendly"", ""vegan""]",medium
cheese and pineapple sandwich (cheese aur ananas ka sandwich),257.71,8.2,29.1,12.8,2.33,4.1,fruit,veg,north_india,"['lunch', 'dinner']","[""diabetes-friendly"", ""veg""]",medium
cheese and tomato sandwich (cheese aur tamatar ke sandwich),243.32,7.92,26.92,12.27,1.97,2.85,other,veg,north_india,"['lunch', 'dinner']","[""diabetes-friendly"", ""veg""]",medium
chicken sandwich,253.27,13.12,25.38,11.75,1.64,1.6,protein,non-veg,north_india,"['lunch', 'dinner']","[""diabetes-friendly""]",medium
peanut and tomato sandwich (moongfali aur tamatar ka sandwich),291.43,9.53,28.54,16.14,4.03,2.82,other,vegan,north_india,"['lunch', 'dinner']","[""diabetes-friendly"", ""vegan""]",medium
rainbow sandwich,272.75,7.75,34.26,12.54,2.1,4.05,other,vegan,north_india,"['lunch', 'dinner']","[""vegan""]",medium
club sandwich,235.32,7.31,18.51,15.12,1.81,2.01,other,vegan,north_india,"['lunch', 'dinner']","[""diabetes-friendly"", ""vegan""]",medium
vegetarian club sandwich,198.33,5.45,19.68,11.33,2.06,2.08,vegetable,vegan,north_india,"['lunch', 'dinner']","[""diabetes-friendly"", ""vegan""]",medium
pin wheel sandwich,311.52,8.77,14.0,24.93,0.93,1.45,other,vegan,north_india,"['lunch', 'dinner']","[""diabetes-friendly"", ""vegan""]",medium
carrot apple sandwich (gajar aur seb ka sandwich),214.11,5.3,29.04,9.12,3.66,5.3,fruit,vegan,north_india,"['lunch', 'dinner']","[""vegan""]",medium
salami sandwich,255.59,8.7,21.54,15.51,1.97,2.0,other,vegan,north_india,"['lunch', 'dinner']","[""diabetes-friendly"", ""vegan""]",medium
vegetable and mayonnaise sandwich,244.26,4.47,23.2,15.4,2.35,2.35,vegetable,vegan,north_india,"['lunch', 'dinner']","[""diabetes-friendly"", ""vegan""]",medium
egg and tomato sandwich (ande aur tamatar ka sandwich),222.11,7.66,25.9,10.51,1.77,2.09,protein,non-veg,north_india,"['lunch', 'dinner']","[""diabetes-friendly""]",medium
sweet open sandwich,244.25,4.99,39.24,8.15,2.36,12.23,other,vegan,north_india,"['lunch', 'dinner']","[""vegan""]",medium
mushroom and cheese sandwich (toasted),227.42,7.79,21.01,13.01,2.28,2.11,other,veg,north_india,"['lunch', 'dinner']","[""diabetes-friendly"", ""veg""]",medium
cheese and tomato sandwich (toasted) (cheese aur tamatar ke sandwich (toasted)),224.58,6.82,21.42,12.95,1.78,2.67,other,veg,north_india,"['lunch', 'dinner']","[""diabetes-friendly"", ""veg""]",medium
pea potato sandwich (toasted) (matar aloo ka sandwich),164.9,4.6,25.17,5.43,2.89,1.33,vegetable,vegan,north_india,"['lunch', 'dinner']","[""diabetes-friendly"", ""vegan""]",medium
paneer pea sandwich (toasted) (paneer matar ka sandwich),249.56,12.4,24.05,11.98,2.12,6.4,protein,veg,north_india,"['lunch', 'dinner']","[""veg""]",medium
chicken sandwich (toasted),167.37,12.08,18.82,5.32,1.64,2.13,protein,non-veg,north_india,"['lunch', 'dinner']","[""diabetes-friendly""]",medium
pea keema sandwich (toasted) (matar aur keema ka sandwich),171.78,11.06,20.26,5.61,2.45,1.94,other,vegan,north_india,"['lunch', 'dinner']","[""diabetes-friendly"", ""vegan""]",medium
classic club sandwich,200.83,6.74,18.49,11.56,1.62,1.86,dairy,vegan,north_india,"['lunch', 'dinner']","[""diabetes-friendly"", ""vegan""]",medium
sesame toast,495.19,1.9,11.15,49.38,1.32,1.46,other,vegan,north_india,"['lunch', 'dinner']","[""diabetes-friendly"", ""vegan""]",medium
cracked wheat porridge (meetha daliya),81.57,2.64,8.87,4.08,0.62,5.12,protein,vegan,north_india,"['lunch', 'dinner']","[""weight-loss"", ""keto-friendly"", ""low-fat"", ""vegan""]",medium
semolina porridge (suji/rava daliya),100.89,3.75,12.39,4.08,0.7,7.54,protein,vegan,north_india,"['lunch', 'dinner']","[""weight-loss"", ""low-fat"", ""vegan""]",medium
oatmeal porridge,72.85,2.6,8.77,3.22,0.39,5.2,other,vegan,north_india,"['lunch', 'dinner']","[""weight-loss"", ""keto-friendly"", ""low-fat"", ""vegan""]",medium
cornflakes with milk,117.33,3.59,14.95,5.12,0.78,9.97,dairy,veg,north_india,"['lunch', 'dinner']","[""weight-loss"", ""veg""]",medium
rice flakes (chiwda/aval),112.44,3.62,15.57,3.99,0.37,7.28,grain,vegan,north_india,"['breakfast', 'lunch', 'dinner']","[""weight-loss"", ""low-fat"", ""vegan""]",medium
wheat flakes,112.44,3.62,15.57,3.99,0.37,7.28,grain,vegan,north_india,"['breakfast', 'lunch', 'dinner']","[""weight-loss"", ""low-fat"", ""vegan""]",medium
murmura (puffed rice),113.32,3.62,15.67,4.04,0.28,7.31,grain,vegan,north_india,"['breakfast', 'lunch', 'dinner']","[""weight-loss"", ""low-fat"", ""vegan""]",medium
puffed wheat (murmure/moori),113.32,3.62,15.67,4.04,0.28,7.31,grain,vegan,north_india,"['breakfast', 'lunch', 'dinner']","[""weight-loss"", ""low-fat"", ""vegan""]",medium
boiled egg (ubla anda),45.35,4.43,0.12,3.04,0.11,0.0,protein,non-veg,north_india,"['lunch', 'dinner']","[""weight-loss"", ""keto-friendly"", ""diabetes-friendly"", ""low-fat""]",medium
fried egg,223.67,11.59,0.31,19.62,0.29,0.0,protein,non-veg,north_india,"['lunch', 'dinner']","[""keto-friendly"", ""diabetes-friendly""]",medium
poached egg,123.87,11.98,0.37,8.19,0.3,0.05,protein,non-veg,north_india,"['lunch', 'dinner']","[""weight-loss"", ""keto-friendly"", ""diabetes-friendly""]",medium
scrambled egg (ande ki bhurji),155.97,10.29,1.35,12.21,0.24,1.08,protein,non-veg,north_india,"['lunch', 'dinner']","[""keto-friendly"", ""diabetes-friendly""]",medium
baked egg,218.85,11.88,15.42,12.65,1.03,1.66,protein,non-veg,north_india,"['lunch', 'dinner']","[""diabetes-friendly""]",medium
plain omelette/omlet,272.41,9.66,0.64,25.74,0.12,0.51,other,vegan,north_india,"['lunch', 'dinner']","[""keto-friendly"", ""diabetes-friendly"", ""vegan""]",medium
stuffed egg omelette/omlet,203.51,8.6,2.3,17.77,0.75,1.57,protein,non-veg,north_india,"['lunch', 'dinner']","[""keto-friendly"", ""diabetes-friendly""]",medium
pancake,203.36,5.68,20.49,10.82,0.65,3.32,snack,vegan,north_india,['snack'],"[""diabetes-friendly"", ""vegan""]",medium
keema pancake,176.27,9.01,9.56,11.25,0.84,2.2,snack,vegan,north_india,['snack'],"[""keto-friendly"", ""diabetes-friendly"", ""vegan""]",medium
vegetable pancake,125.18,3.87,12.24,6.57,2.48,2.09,vegetable,vegan,north_india,"['lunch', 'dinner']","[""weight-loss"", ""diabetes-friendly"", ""vegan""]",medium
jam and fruit pancake,162.02,3.79,20.73,7.01,1.21,7.85,fruit,vegan,north_india,"['lunch', 'dinner']","[""vegan""]",medium
khoa and coconut pancake,271.98,6.98,27.32,15.29,1.65,16.47,snack,vegan,north_india,['snack'],"[""vegan""]",high
brown stock,21.32,1.95,0.25,1.38,0.09,0.14,other,vegan,north_india,"['lunch', 'dinner']","[""weight-loss"", ""keto-friendly"", ""diabetes-friendly"", ""low-fat"", ""vegan""]",medium
vegetable stock,17.6,0.3,0.96,1.38,0.38,0.44,vegetable,vegan,north_india,"['lunch', 'dinner']","[""weight-loss"", ""keto-friendly"", ""diabetes-friendly"", ""low-fat"", ""vegan""]",medium
chicken stock,29.88,3.69,0.37,1.51,0.1,0.2,protein,non-veg,north_india,"['lunch', 'dinner']","[""weight-loss"", ""keto-friendly"", ""diabetes-friendly"", ""low-fat""]",medium
clear tomato soup (tamatar ka soup),80.07,4.79,3.45,12.22,1.96,1.44,other,vegan,north_india,"['lunch', 'dinner']","[""weight-loss"", ""keto-friendly"", ""diabetes-friendly"", ""vegan""]",medium
lentil soup,31.17,9.65,3.94,11.68,2.57,1.06,other,vegan,north_india,"['lunch', 'dinner']","[""weight-loss"", ""keto-friendly"", ""diabetes-friendly"", ""vegan""]",medium
chicken consomme (clear chicken soup),47.94,11.47,1.19,12.02,1.57,0.54,protein,non-veg,north_india,"['lunch', 'dinner']","[""weight-loss"", ""keto-friendly"", ""diabetes-friendly""]",medium
cream of tomato soup,97.81,4.61,3.93,13.12,1.38,1.81,other,vegan,north_india,"['lunch', 'dinner']","[""weight-loss"", ""keto-friendly"", ""diabetes-friendly"", ""vegan""]",medium
cream of green peas soup,127.84,7.13,6.75,14.78,2.95,1.61,other,vegan,north_india,"['lunch', 'dinner']","[""weight-loss"", ""keto-friendly"", ""diabetes-friendly"", ""vegan""]",medium
cream of spinach soup,100.54,5.21,3.45,13.31,1.74,1.13,other,vegan,north_india,"['lunch', 'dinner']","[""weight-loss"", ""keto-friendly"", ""diabetes-friendly"", ""vegan""]",medium
cream of mixed vegetable soup,59.65,6.84,4.93,9.05,2.14,2.1,vegetable,vegan,north_india,"['lunch', 'dinner']","[""weight-loss"", ""keto-friendly"", ""diabetes-friendly"", ""vegan""]",medium
cream of mushroom soup,117.28,6.64,3.74,15.5,1.34,1.93,other,vegan,north_india,"['lunch', 'dinner']","[""weight-loss"", ""keto-friendly"", ""diabetes-friendly"", ""vegan""]",medium
chicken sweet corn soup,28.32,14.48,1.63,12.59,0.47,0.27,protein,non-veg,north_india,"['lunch', 'dinner']","[""weight-loss"", ""keto-friendly"", ""diabetes-friendly""]",medium
