name,calories,protein,carbs,fat,fiber,sugar,category,diet_type,region,meal_type,health_tags,glycemic_index
"gourd, white-flowered (calabash), raw",14.0,0.62,3.39,0.02,0.5,0.0,other,vegan,global,"[""lunch"", ""dinner""]","[""very-low-calorie"", ""weight-loss"", ""low-carb"", ""keto-friendly"", ""low-fat"", ""heart-healthy"", ""diabetes-friendly"", ""diabetes-friendly""]",low
"beef, rib, whole (ribs 6-12), separable lean and fat, trimmed to 1/8"" fat, choice, raw",322.0,16.34,0.0,27.93,0.0,0.0,protein,non-veg,global,"[""lunch"", ""dinner""]","[""high-protein"", ""good-protein"", ""low-carb"", ""keto-friendly"", ""diabetes-friendly"", ""diabetes-friendly""]",low
"poultry, mechanically deboned, from backs and necks without skin, raw",199.0,13.79,0.0,15.48,0.0,0.0,other,vegan,global,"[""lunch"", ""dinner""]","[""weight-loss"", ""good-protein"", ""low-carb"", ""keto-friendly"", ""diabetes-friendly"", ""diabetes-friendly""]",low
"sausage, smoked link sausage, pork and beef (nonfat dry milk added)",313.0,13.28,1.92,27.61,0.0,0.0,protein,non-veg,global,"[""beverage""]","[""good-protein"", ""low-carb"", ""keto-friendly"", ""diabetes-friendly"", ""diabetes-friendly""]",low
"caribou, rump meat, half dried (alaska native)",255.0,52.06,0.0,5.23,0.0,0.0,other,vegan,global,"[""snack""]","[""high-protein"", ""good-protein"", ""low-carb"", ""keto-friendly"", ""diabetes-friendly"", ""diabetes-friendly""]",low
"beef, round, outside round, bottom round, steak, separable lean and fat, trimmed to 0"" fat, choice, cooked, grilled",191.0,27.22,0.0,8.3,0.0,0.0,protein,non-veg,global,"[""beverage""]","[""weight-loss"", ""high-protein"", ""good-protein"", ""low-carb"", ""keto-friendly"", ""diabetes-friendly"", ""diabetes-friendly""]",low
"soup, chicken broth, low sodium, canned",16.0,2.0,1.2,0.6,0.0,0.13,protein,non-veg,global,"[""lunch"", ""dinner""]","[""very-low-calorie"", ""weight-loss"", ""low-carb"", ""keto-friendly"", ""low-fat"", ""heart-healthy"", ""diabetes-friendly"", ""diabetes-friendly""]",low
"apple juice, frozen concentrate, unsweetened, diluted with 3 volume water, with added ascorbic acid",47.0,0.14,11.54,0.1,0.1,0.0,fruit,vegan,global,"[""beverage""]","[""very-low-calorie"", ""weight-loss"", ""low-fat"", ""heart-healthy"", ""diabetes-friendly"", ""diabetes-friendly""]",low
"kiwifruit, green, raw",61.0,1.14,14.66,0.52,3.0,8.99,fruit,vegan,global,"[""breakfast"", ""snack""]","[""very-low-calorie"", ""weight-loss"", ""low-fat"", ""heart-healthy""]",low
"soup, chicken vegetable with potato and cheese, chunky, ready-to-serve",65.0,1.16,5.2,4.46,0.3,0.64,protein,non-veg,global,"[""lunch"", ""dinner""]","[""very-low-calorie"", ""weight-loss"", ""low-carb"", ""low-fat"", ""diabetes-friendly"", ""diabetes-friendly""]",low
